date,y_log,log_spy_rv_5d,log_spy_rv_10d,log_spy_rv_20d,log_vix_close,vix_chg_1d,log_qqq_rv_5d,spy_ret_neg,log_spy_hl_range,log_abs_spy_ret,log_abs_spy_gap,log_vix_hl_range,log_vix_close_lag1,log_spy_hl_range_lag1
2019-06-12,-2.638376814584758,-2.565794854238337,-1.9135914201809405,-1.9673560456829144,2.7669478333875404,-0.0050031222546077,-1.8805616179034754,-0.0017652449249604,-5.2996669698291665,-6.339460165621051,-7.013222940338363,-3.19772962376811,2.7719635131571927,-4.496697950484646
2019-06-13,-2.466162540623732,-2.6117914298355918,-1.9140551193859203,-1.9722244158147517,2.7612749436811144,-0.0056568292552515,-1.8818602719722248,0.0,-5.360933053580453,-5.49038164461657,-5.654381141984565,-3.2721012568228867,2.7669478333875404,-5.2996669698291665
2019-06-14,-2.207298538405128,-3.041630565681544,-2.1462910522667467,-1.9978215404156547,2.7265447669171174,-0.0341340058324842,-2.166480618264483,-0.0011049686493468,-5.248620961383365,-6.80792926605719,-6.807929266057177,-2.55259168335497,2.7612749436811144,-5.360933053580453
2019-06-17,-2.1785874806798144,-3.309713891990357,-2.185002171274918,-2.015496076046307,2.73111549953612,0.0045811943535241,-2.431892858797415,0.0,-5.62847441743194,-7.874707761556388,-7.014468311551501,-3.3850407907849402,2.7265447669171174,-5.248620961383365
2019-06-18,-2.122544786142416,-2.5245228412605543,-2.6014376336941485,-2.0047016278028713,2.718000507435924,-0.0130293653400096,-2.018937415550287,0.0,-4.730325550794573,-4.559142957534281,-4.9645975163877045,-2.8013818681128293,2.73111549953612,-5.62847441743194
2019-06-19,-2.1528674332046425,-2.638376814584758,-2.6571600202616095,-2.0264301238859503,2.6623552372138457,-0.0541253937604894,-2.240508739055513,0.0,-4.901054496501629,-6.093628172059841,-7.575263888883543,-2.2176690544105897,2.718000507435924,-4.730325550794573
2019-06-20,-2.4990601296432104,-2.466162540623732,-2.5867544386753685,-2.0097252292212207,2.691243083463795,0.0293091471409667,-2.2029245333988188,0.0,-4.5330064959977125,-4.650761253714625,-4.588449387262612,-1.6474385891472458,2.6623552372138457,-4.901054496501629
2019-06-21,-2.3816483726174402,-2.207298538405128,-2.50161924091054,-2.0613354972079603,2.734367485298172,0.0440677707478149,-2.3519884556173514,-0.0062867080499322,-5.118276078767745,-5.069316117106301,-5.141774491055462,-2.676098935069834,2.691243083463795,-4.5330064959977125
2019-06-24,-2.165113782395482,-2.1785874806798144,-2.4961965638397756,-2.0571154709441526,2.7252350415104285,-0.0090908696828784,-2.176766859017473,-0.001224439971301,-5.578005113244708,-6.7052635388370785,-7.153195189977938,-3.8338945442289556,2.734367485298172,-5.118276078767745
2019-06-25,-2.840264382630625,-2.122544786142416,-2.2980569586385986,-2.0524179127788984,2.7899374033658866,0.066841444460346,-1.8529652016997433,-0.0098079442144852,-4.544327371471119,-4.624561567979724,-8.495757044024073,-2.3325125009620913,2.7252350415104285,-5.578005113244708
2019-06-26,-3.1158370049170916,-2.1528674332046425,-2.3025075774885173,-2.080231093088714,2.7856282798853167,-0.0042998525319641,-1.8401264637698458,-0.0009974155151378,-4.998558709363946,-6.910333083529366,-5.682555481378359,-2.663410401817726,2.7899374033658866,-4.544327371471119
2019-06-27,-2.721358800581084,-2.4990601296432104,-2.3076157841863703,-2.079579545323188,2.7612749436811144,-0.0240591864080986,-1.9722309344175744,0.0,-5.5180483723053895,-5.64193986774935,-5.845854593761052,-3.0623801313489283,2.7856282798853167,-4.998558709363946
2019-06-28,-2.3289541467039636,-2.3816483726174402,-2.2897445177359406,-2.2016002744084635,2.7133693581836598,-0.046776219051399,-1.953695489311116,0.0,-5.248402558029182,-5.269572954350955,-5.598088698715105,-2.664579776341226,2.7612749436811144,-5.5180483723053895
2019-07-01,-2.542122579920493,-2.165113782395482,-2.2233616701932912,-2.203765504097315,2.6433339169384715,-0.0676392247513143,-1.7216730202662054,0.0,-4.737540771762692,-4.701844007989919,-4.377261050918123,-2.8176869543388645,2.7133693581836598,-5.248402558029182
2019-07-02,-2.491065873238639,-2.840264382630625,-2.3218980970336798,-2.4349667787217397,2.5595502171593094,-0.0803698492685909,-2.600080546252346,0.0,-5.098483943997666,-5.9505853502662305,-8.684517178907585,-2.2230774786901164,2.6433339169384715,-4.737540771762692
2019-07-03,-2.7826902143188827,-3.1158370049170916,-2.2673365866120303,-2.441430382465918,2.5313129991195957,-0.0278422739253496,-2.5884785120767395,0.0,-5.111975915047054,-4.8289219325191475,-5.979489198226581,-2.9933495905139518,2.5595502171593094,-5.098483943997666
2019-07-05,-2.7169092029653727,-2.721358800581084,-2.351688797083118,-2.443199240156963,2.5862591246937088,0.0564836957346401,-2.3554417513265244,-0.0011378726632552,-4.7316490542765175,-6.778586056454084,-5.392298286545131,-1.69836768635131,2.5313129991195957,-5.111975915047054
2019-07-08,-3.4723053349724835,-2.3289541467039636,-2.368660568333843,-2.4510024984331946,2.63619610078315,0.0512048432868184,-2.0616003795776594,-0.0054948206721576,-4.980170467615867,-5.203947506495317,-5.32708290511525,-2.8593404305556467,2.5862591246937088,-4.7316490542765175
2019-07-09,-2.9472819747825447,-2.542122579920493,-2.3772879352390626,-2.4595273099375654,2.6454653374498287,0.009312329089232,-2.366518531606093,0.0,-4.981431179400422,-6.687383367128819,-5.446264475980711,-2.9739688371445103,2.63619610078315,-4.980170467615867
2019-07-10,-2.640787281738449,-2.491065873238639,-2.65241843090652,-2.45296139204783,2.567254371410828,-0.0752306890090424,-2.1915502748498548,0.0,-5.067862362682352,-5.343724743767145,-5.5288609230519095,-2.0307609016218047,2.6454653374498287,-4.981431179400422
2019-07-11,-2.587506648554267,-2.7826902143188827,-2.695061265242824,-2.4639897954724943,2.5595502171593094,-0.0076745533265341,-2.2599467931795525,0.0,-5.37941272540632,-6.055791564808457,-6.041593481494151,-2.621425928951597,2.567254371410828,-5.067862362682352
2019-07-12,-2.682757451321456,-2.7169092029653727,-2.6896370150557813,-2.462438265870189,2.5168897241578185,-0.0417633371313121,-2.25786661415627,0.0,-5.5070924535248045,-5.408810702734784,-6.317644590381589,-3.1330757039726334,2.5595502171593094,-5.37941272540632
2019-07-15,-2.5914434170864875,-3.4723053349724835,-2.686031622197776,-2.4685479231907195,2.540025973865214,0.0234059688310914,-2.7837382237855297,0.0,-5.7681489618809,-8.008440774172186,-6.439886800964482,-3.174902710710867,2.5168897241578185,-5.5070924535248045
2019-07-16,-2.3390692630808845,-2.9472819747825447,-2.759353578779598,-2.447054017223045,2.55412169289013,0.0141955321111462,-2.3806176691244736,-0.0032252742168017,-5.338401977423124,-5.7367342033767175,-8.008773341842861,-2.7049437226014788,2.540025973865214,-5.7681489618809
2019-07-17,-2.571553748326227,-2.640787281738449,-2.5921977026577903,-2.462022970837011,2.636912193099136,0.0863142021761425,-2.563881884993368,-0.006805018857925,-4.912316571483683,-4.990093402193357,-9.209547530742757,-2.0887904164686977,2.55412169289013,-5.338401977423124
2019-07-18,-2.4033364225708955,-2.587506648554267,-2.7309306745562836,-2.4569144889392502,2.604909423185741,-0.0314961006189872,-2.5562563752805363,0.0,-4.763785060915803,-5.610043521582727,-6.29407437169407,-2.3348818616331406,2.636912193099136,-4.912316571483683
2019-07-19,-2.563063584329593,-2.682757451321456,-2.6468519078739394,-2.496305644165719,2.670694402050838,0.0679970505876657,-2.6332162673096327,-0.0055549082057393,-4.566133543331235,-5.193071580438319,-5.509233816605596,-2.3632098478040495,2.604909423185741,-4.763785060915803
2019-07-22,-2.4608182154701845,-2.5914434170864875,-2.7178165474420406,-2.5384796593335994,2.604909423185741,-0.0636678261894546,-2.3135342045271146,0.0,-5.318325215793085,-6.009037840219318,-6.515342020122609,-2.3580494474282547,2.670694402050838,-4.566133543331235
2019-07-23,-2.5435126453400105,-2.3390692630808845,-2.599130112994771,-2.5027133392763385,2.5344901235436197,-0.0679970505876657,-2.231338680194674,0.0,-5.110555311529174,-4.940632168524476,-5.481627321931572,-2.564948924947961,2.604909423185741,-5.318325215793085
2019-07-24,-2.2942337057336863,-2.571553748326227,-2.6006361451044158,-2.633442402753157,2.4907230106541145,-0.0428231543659943,-2.2881874677637963,0.0,-4.8541517913744965,-5.3602880360960246,-5.878236640601337,-2.3773934674355877,2.5344901235436197,-5.110555311529174
2019-07-25,-2.21157420164443,-2.4033364225708955,-2.538954624204447,-2.590566491691718,2.5447466329633395,0.0555095354792136,-1.9935019444559223,-0.0047770781241489,-5.067196307830628,-5.343924097152066,-6.401712151265213,-1.9295607180234986,2.4907230106541145,-4.8541517913744965
2019-07-26,-2.759180618972045,-2.563063584329593,-2.489222573456908,-2.5657565464311682,2.4981518648120433,-0.0455258974981244,-2.07249451466222,0.0,-5.234214250369676,-5.005641401548161,-5.978202523624027,-2.840641947940742,2.5447466329633395,-5.067196307830628
2019-07-29,-1.7819219605450567,-2.4608182154701845,-2.4796760116100645,-2.5665826469685,2.551786173460441,0.0550986911760971,-2.026465519999419,-0.0018211923206575,-5.560211548151677,-6.308258380258083,-7.750620200483802,-2.5319829708127766,2.4981518648120433,-5.234214250369676
2019-07-30,-1.3926594927202287,-2.5435126453400105,-2.4893837114700785,-2.626141479722953,2.6347623759481094,0.0865159519312461,-2.026895284426558,-0.0024546880360581,-5.187370214450569,-6.009751524869722,-5.270388308724549,-2.3647348112874798,2.551786173460441,-5.560211548151677
2019-07-31,-1.3660938247803238,-2.2942337057336863,-2.357225137600197,-2.4866722119440454,2.7800607897604537,0.1563846000338369,-1.9346621062193452,-0.0109404380538934,-3.9034189136124295,-4.515288527260834,-7.015542476061976,-1.6518899053134564,2.6347623759481094,-5.187370214450569
2019-08-01,-1.1661747054388307,-2.21157420164443,-2.291542874699382,-2.4828363178960475,2.8831233766941895,0.1085607883928139,-1.9850764452514038,-0.008707919179872,-3.7534622294629303,-4.743521268409099,-7.467039242588318,-1.1374078941101553,2.7800607897604537,-3.9034189136124295
2019-08-02,-1.1692450345188967,-2.759180618972045,-2.264600663356973,-2.441774611989142,2.8684669577353468,-0.0145495364673406,-2.432069919193658,-0.0075295117632513,-4.5094921748499,-4.888923750043635,-5.696490045863528,-1.74678943761261,2.8831233766941895,-3.7534622294629303
2019-08-05,-1.5396521278831679,-1.7819219605450567,-1.749841120658365,-2.005105551788399,3.202339862840053,0.3963656615737607,-1.614111897931352,-0.0300730911756202,-3.778078796896655,-3.504124155419805,-4.168152506279249,-1.6131046849840938,2.8684669577353468,-4.5094921748499
2019-08-06,-1.5159617952770812,-1.3926594927202287,-1.6622960454268056,-1.9232313365873743,3.004196356244452,-0.1797478669730214,-1.2606966728086375,0.0,-4.337843431975946,-4.267062635158359,-4.9111765884505845,-1.8727940561383163,3.202339862840053,-3.778078796896655
2019-08-07,-1.1289547033930873,-1.3660938247803238,-1.6849853926860614,-1.9346804843617875,2.9699015022890007,-0.033713450798396,-1.1926303449440798,0.0,-3.7488789656404684,-7.43412668248607,-4.438491269097723,-1.4159763548457924,3.004196356244452,-4.337843431975946
2019-08-08,-1.319730199734744,-1.1661747054388307,-1.507862093536543,-1.8149489166065542,2.827905154478325,-0.1323755748591287,-0.9999527254942937,0.0,-4.154061081291805,-3.9312013377112,-5.162082978199613,-1.7062276366122122,2.9699015022890007,-3.7488789656404684
2019-08-09,-1.1884848800801708,-1.1692450345188967,-1.5289829618360087,-1.8150836830686956,2.888703663141293,0.0626847708756546,-1.0274999054794516,-0.0068115252137436,-4.397299573418436,-4.989137749022773,-5.643054645049051,-2.1325810970349024,2.827905154478325,-4.154061081291805
2019-08-12,-1.2005705894022864,-1.5396521278831679,-1.5103974975173202,-1.7898643819689972,3.048799002199924,0.1736227578436664,-1.4715330039589547,-0.0121733346560896,-4.1393236777526585,-4.408506581796069,-5.168630002946846,-1.798897270663817,2.888703663141293,-4.397299573418436
2019-08-13,-1.2547297894305343,-1.5159617952770812,-1.4156119445713151,-1.724702049842878,2.863343112207085,-0.1692745220007101,-1.360737436565857,0.0,-3.7631829196277495,-4.163584201804047,-6.771805641136635,-1.4474901650018936,3.048799002199924,-4.1393236777526585
2019-08-14,-1.9587498475222662,-1.1289547033930873,-1.2862960321018764,-1.5886071669542716,3.095577626237269,0.2614155139291969,-1.021669510869857,-0.0295675756534496,-4.043195502806601,-3.5210765969648823,-4.179016210728565,-1.4941720250736277,2.863343112207085,-3.7631829196277495
2019-08-15,-1.9181979694056843,-1.319730199734744,-1.2825335778865594,-1.5903848639261098,3.053057355054081,-0.0416289620096722,-1.208814957805301,0.0,-4.472604461767516,-5.936300329105835,-5.6688106419195154,-1.853092599778775,3.095577626237269,-4.043195502806601
2019-08-16,-1.4385175881173626,-1.1884848800801708,-1.2370367030686622,-1.5502816175959422,2.916147757576307,-0.127950942057307,-1.0996971474611013,0.0,-4.135513269933478,-4.216172224497927,-5.046933472984046,-2.1789835296764193,3.053057355054081,-4.472604461767516
2019-08-19,-1.4546570310008995,-1.2005705894022864,-1.4007925506399534,-1.5272407896522298,2.8261294400426085,-0.0860855555873387,-1.0937344985200037,0.0,-5.183194907197421,-4.418880031982141,-4.459936967988646,-2.2955017622759457,2.916147757576307,-4.135513269933478
